region,name,address,repair,note,lat,lng
서울,LG전자 서초서비스센터,서울특별시 서초구 신반포로 165 반포쇼핑타운 2동 LG BEST SHOP 반포점 2층,"가전 전 제품, PC, 에어컨",,37.5057251189753,127.002171712729
서울,LG전자 은평서비스센터,서울특별시 은평구 불광로 41 LG BEST SHOP 불광본점 3층,"가전 전 제품, PC, 에어컨",대형 제품은 출장 서비스 이용,37.6115308805002,126.930255774839
서울,LG전자 영등포서비스센터,서울특별시 영등포구 선유로 130 에이스 하이테크시티3 2층 210~212호,"가전 전 제품, PC, 에어컨",,37.5253785170391,126.891376058936
서울,LG전자 금천서비스센터,서울특별시 금천구 시흥대로 398 LG BEST SHOP 금천본점 2층,"가전 전 제품, PC, 에어컨",,37.4691811467996,126.898472431734
서울,LG전자 강북서비스센터,서울특별시 강북구 도봉로 109 LG BEST SHOP 4층,"가전 전 제품, PC",,37.6186704610905,127.028834919816
서울,LG전자 동대문서비스센터,서울특별시 동대문구 고산자로 402 LG BEST SHOP 용두점 3층,"가전 전 제품, PC, 에어컨",하이패스 서비스 불가,37.57545238003,127.038500666153
서울,LG전자 홍대역서비스센터,서울특별시 마포구 신촌로 6 LG BEST SHOP 동교점 3층,"가전 전 제품, PC, 에어컨",,37.5583384220284,126.926837392465
서울,LG전자 광진서비스센터,서울특별시 광진구 아차산로 302 LG BEST SHOP 건대입구점 4층,"가전 전 제품, PC",,37.5379626635081,127.076351088823
서울,LG전자 관악서비스센터,서울특별시 관악구 양녕로 6 LG BEST SHOP 봉천점 4층,"가전 전 제품, PC, 에어컨",,37.4824171335396,126.946709059284
서울,LG전자 양천서비스센터,서울특별시 양천구 신월로 328 LG BEST SHOP 양천본점 3층,"가전 전 제품, PC, 에어컨",키폰 수리 불가,37.5213920036512,126.857528321092
서울,LG전자 강서서비스센터,서울특별시 강서구 공항대로 431 LG BEST SHOP 3층,"가전 전 제품, PC, 노트북, 모니터, 에어컨",,37.5552954200354,126.855211770839
서울,LG전자 송파서비스센터,서울특별시 송파구 송파대로 476 LG BEST SHOP 송파점 4층,"가전 전 제품, PC, 에어컨",,37.5087617669791,127.104530193484
서울,LG전자 강동서비스센터,서울특별시 강동구 양재대로 1449 LG BEST SHOP 강동본점 3층,"가전 전 제품, PC, 에어컨",,37.5355470377102,127.138655468761
서울,LG전자 노원서비스센터,서울특별시 노원구 동일로 1107 LG BEST SHOP 노원본점 3층,"가전 전 제품, PC, 에어컨",,37.6285347741771,127.071093917768
서울,LG전자 대치서비스센터,서울특별시 강남구 영동대로 202 LG BEST SHOP 대치본점 5층,"가전 전 제품, PC, 소모품 판매",키폰 불가,37.4971285669584,127.070553456159
서울,LG전자 충무로역서비스센터,서울특별시 중구 퇴계로 202 PNC II 2층,"가전 전 제품, PC, 에어컨",토요일 휴무,37.5609648327983,126.994282173491
경기,LG전자 수원서비스센터,경기도 수원시 팔달구 권광로 181 LG BEST SHOP 수원본점 3층,"가전 전 제품, PC, 에어컨",,37.2637484872618,127.032221016662
경기,LG전자 영통서비스센터,경기도 수원시 영통구 봉영로 1557 LG BEST SHOP 영통점 3층,"가전 전 제품, PC, 에어컨",,37.24612269678958,127.05386369478812
경기,LG전자 성남서비스센터,경기도 성남시 중원구 둔촌대로 544 LG BEST SHOP 성남본점 4층,"가전 전 제품, PC, 에어컨",,37.4310685266458,127.177206465602
경기,LG전자 분당서비스센터,경기도 성남시 분당구 서현로 204 LG에클라트2차 4층,"가전 전 제품, PC, 에어컨",,37.3871195196092,127.125208672874
경기,LG전자 안양서비스센터,경기도 안양시 동안구 평촌대로 222 LG BEST SHOP 안양본점 4층,"가전 전 제품, PC, 에어컨",,37.39208332757352,126.97394541303524
경기,LG전자 부천서비스센터,경기도 부천시 길주로 210 LG BEST SHOP 부천본점 3층,"가전 전 제품, PC, 에어컨",,37.5035709606885,126.765349745352
경기,LG전자 고양서비스센터,경기도 고양시 일산서구 중앙로 1362 LG BEST SHOP 일산본점 4층,"가전 전 제품, PC, 에어컨",,37.6630296690287,126.77111938104
경기,LG전자 백석서비스센터,경기도 고양시 일산동구 일산로 46 남정씨티프라자3차 402호,"가전 전 제품, PC, 에어컨",,37.6423554662304,126.787882489759
경기,LG전자 의정부서비스센터,경기도 의정부시 평화로 479 LG BEST SHOP 의정부본점 3층,"가전 전 제품, PC, 에어컨",,37.7347479596598,127.047601257059
경기,LG전자 용인서비스센터,경기도 용인시 처인구 중부대로 1199 LG BEST SHOP 용인본점 3층,"가전 전 제품, PC, 에어컨",,37.2410193565378,127.177896258177
경기,LG전자 평택서비스센터,경기도 평택시 중앙로 86 LG BEST SHOP 평택본점 3층,"가전 전 제품, PC, 에어컨",,36.9936434881628,127.092558459709
경기,LG전자 안산서비스센터,경기도 안산시 단원구 광덕대로 218 LG BEST SHOP 안산본점 3층,"가전 전 제품, PC, 에어컨",,37.30830932673438,126.82900367688308
경기,LG전자 시흥서비스센터,경기도 시흥시 마유로 2 LG BEST SHOP 시흥본점 3층,"가전 전 제품, PC, 에어컨",,37.43891813903601,126.79810948554307
경기,LG전자 광명서비스센터,경기도 광명시 철산로 29 LG BEST SHOP 광명점 3층,"가전 전 제품, PC, 에어컨",,37.4479840843339,126.881948444035
경기,LG전자 파주서비스센터,경기도 파주시 금릉역로 105 LG BEST SHOP 파주점 3층,"가전 전 제품, PC, 에어컨",,37.7647054610793,126.772644964512
경기,LG전자 남양주서비스센터,경기도 남양주시 경춘로 1037 LG BEST SHOP 남양주점 3층,"가전 전 제품, PC, 에어컨",,37.636616841679,127.217995427756
경기,LG전자 김포서비스센터,경기도 김포시 김포한강9로 LG BEST SHOP 김포점 3층,"가전 전 제품, PC, 에어컨",,37.6240586768451,126.696829539407
경기,LG전자 화성서비스센터,경기도 화성시 동탄대로 537 LG BEST SHOP 동탄점 3층,"가전 전 제품, PC, 에어컨",,37.2022219858229,127.097923632495
경기,LG전자 하남서비스센터,경기도 하남시 미사강변대로 8 LG BEST SHOP 하남점 3층,"가전 전 제품, PC, 에어컨",,37.5629353029295,127.18982194522
인천,LG전자 남인천서비스센터,인천광역시 미추홀구 염전로168번길 15 미추홀프라자Ⅱ 4층,"가전 전 제품, PC, 에어컨",프린터·팩스·키폰 불가,37.4769820676122,126.660873951215
인천,LG전자 연수서비스센터,인천광역시 연수구 하모니로178번길 22 송도GTX센트럴빌딩 B동 7층 701호,"가전제품, PC, 소모품 판매",,37.3830722603442,126.640836317921
인천,LG전자 서인천서비스센터,인천광역시 서구 국제대로 237 LG BEST SHOP 청라점 3층,"가전 전 제품, PC, 모니터",,37.5417873505239,126.647341833889
인천,LG전자 북인천서비스센터,인천광역시 계양구 계양대로 52 1층,"가전 전 제품, PC, 모니터",,37.5283671047235,126.723060003923
인천,LG전자 남동서비스센터,인천광역시 남동구 소래로 668 LG BEST SHOP 남동구청점 2층,"가전 전 제품, PC, 에어컨",,37.4490449915596,126.734539909781
강원,LG전자 춘천서비스센터,강원특별자치도 춘천시 퇴계로 11 LG BEST SHOP 춘천본점 3층,"가전 전 제품, PC, 에어컨",,37.8666448082965,127.723436153813
강원,LG전자 원주서비스센터,강원특별자치도 원주시 원일로 41 LG BEST SHOP 원주본점 3층,"가전 전 제품, PC, 에어컨",,37.3569838471542,127.936916579094
강원,LG전자 강릉서비스센터,강원특별자치도 강릉시 강릉대로 33 LG BEST SHOP 강릉본점 3층,"가전 전 제품, PC, 에어컨",,37.7532226734235,128.875443586651
강원,LG전자 속초서비스센터,강원특별자치도 속초시 중앙로 76 LG BEST SHOP 속초점 3층,"가전 전 제품, PC, 에어컨",,38.2013828216805,128.584259268128
강원,LG전자 동해서비스센터,강원특별자치도 동해시 동해대로 4308 LG BEST SHOP 동해점 3층,"가전 전 제품, PC, 에어컨",,37.52079600657812,129.1154953529691
대전/세종,LG전자 대전서비스센터,대전광역시 서구 둔산대로 117 LG BEST SHOP 대전본점 4층,"가전 전 제품, PC, 에어컨",,36.355167432264096,127.43769504729755
대전/세종,LG전자 동대전서비스센터,대전광역시 동구 동대전로 171 LG BEST SHOP 동대전점 3층,"가전 전 제품, PC, 에어컨",,36.335693548807,127.44573302632
대전/세종,LG전자 서대전서비스센터,대전광역시 중구 유천로 75 LG BEST SHOP 서대전점 3층,"가전 전 제품, PC, 에어컨",,36.319231678306,127.396950214914
